id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34600508,Artist's Loft! A+ Location!  Central Park/5th ave!,256610768,John Ghaddie,Manhattan,Upper East Side,40.764140000000005,-73.96728,Entire home/apt,159,31,4,2019-06-16,2.45,1,244
2349737,NYC Apt - Close to Metro & Mnhtn,11722972,Karen,Queens,Rego Park,40.73243,-73.86773000000001,Entire home/apt,275,30,9,2017-08-03,0.14,1,342
13217609,"Bright Guest Room with Balcony, Harlem",1514100,Wasim,Manhattan,Harlem,40.80991,-73.94596999999999,Private room,149,3,16,2019-06-28,0.59,1,333
23429757,Peaceful Bushwick Apartment,41105459,Stephanie,Brooklyn,Bushwick,40.690290000000005,-73.90623000000001,Shared room,29,1,3,2018-04-01,0.18,1,0
7547439,"Quaint, Quiet East Village 1 BR",39549996,T.,Manhattan,East Village,40.72962,-73.98931999999999,Private room,78,16,9,2019-04-18,0.19,1,23
36449345,"Private Room in Brooklyn, 5minutes from Subway",115528632,Rachel & Alex,Brooklyn,Bedford-Stuyvesant,40.69171,-73.95418000000001,Private room,80,1,0,,,1,43
18934728,A Place of Comfort,131848646,Modesta,Manhattan,Washington Heights,40.83827,-73.94393000000001,Private room,55,7,26,2019-06-29,1.06,1,57
10545027,Clinton Hill - pied-à-terre,54378184,Eej,Brooklyn,Clinton Hill,40.68895,-73.96489,Entire home/apt,220,12,13,2019-06-08,0.31,3,354
18522547,Stunning And Stylishly Furnished Apt In Bushwick,128424841,Oscar,Brooklyn,Bushwick,40.69364,-73.91499,Entire home/apt,149,1,30,2019-06-17,1.13,1,284
31280733,Williamsburg Private Room in Homey Space by Trains,23308549,John,Brooklyn,Williamsburg,40.71388,-73.95744,Private room,75,2,1,2019-02-12,0.2,1,0
20332555,Beautiful Apartment near Times Square Central Park,143944704,Ash,Manhattan,Theater District,40.76302,-73.98210999999999,Entire home/apt,239,3,104,2019-06-22,4.53,1,0
16155648,Unique Retreat in the Heart of Bushwick!,21877498,Andy,Brooklyn,Bushwick,40.70272,-73.93005,Entire home/apt,140,3,0,,,2,0
31129115,Luxurious Boutique Studio Red Hook Brooklyn,1499484,Tom,Brooklyn,Red Hook,40.67746,-74.01392,Entire home/apt,99,1,29,2019-06-28,4.97,2,273
30512507,Cozy Sunbathed Studio in Brooklyn,38249006,Irene,Brooklyn,Bedford-Stuyvesant,40.68462,-73.94055999999999,Entire home/apt,70,4,14,2019-06-27,2.07,1,17
15969978,One Bedroom in Prospect Heights with a Cat!,21660871,Rebecca,Brooklyn,Crown Heights,40.67559,-73.96066,Entire home/apt,45,3,1,2016-11-16,0.03,1,0
4216745,Sunlit Private Room / Spacious Pre-War Apartment,21881605,Julie,Brooklyn,Crown Heights,40.67658,-73.9444,Private room,100,1,0,,,2,83
20744948,Cheap Large Bedroom w/WorkDesk- 10min to JFK/Mall,107455767,Guelma,Queens,Rosedale,40.65429,-73.73432,Private room,45,30,34,2019-05-14,1.52,5,90
35607932,LGBT welcome for Pride Greenwich Village,265901814,Evette,Manhattan,West Village,40.73613,-73.9987,Private room,125,1,0,,,2,75
21770068,Brooklyn Gem! Close to transportation!,21153742,Ezra,Brooklyn,Bedford-Stuyvesant,40.68882,-73.95194000000001,Private room,150,3,2,2017-11-28,0.1,1,364
35467129,Gorgeous  Luxury Studio!!,205510323,Dave,Manhattan,Hell's Kitchen,40.77044,-73.99126,Entire home/apt,220,3,0,,,1,29
19111261,Home Oasis Home,133534397,David,Bronx,Longwood,40.8229,-73.90295,Entire home/apt,100,3,30,2018-02-26,1.18,1,0
23876337,Sonder | 116 John | Warm 1BR + Gym,12243051,Sonder,Manhattan,Financial District,40.70831,-74.00619,Entire home/apt,182,29,2,2019-01-01,0.21,96,259
17095035,Large NYC FLAWLESS Room  Close to public transport,55948559,Barry,Bronx,Pelham Gardens,40.86686,-73.84206999999999,Private room,35,1,16,2019-01-21,0.61,4,3
25855178,Modern Style Cozy & Convenient 2 Bedroom Apartment,155911578,Christopher,Manhattan,Harlem,40.81889,-73.94224,Entire home/apt,180,2,20,2019-05-27,1.52,2,89
20499306,"Room with a view steps from 2,3,5 trains",25753120,Aaron,Brooklyn,Crown Heights,40.6685,-73.94842,Private room,50,5,0,,,2,0
29559298,Manhattan Club-A Lux Suite in Heart of Manhattan,93031650,Kay,Manhattan,Midtown,40.76434,-73.98199,Entire home/apt,300,4,0,,,1,0
13974584,Private Bedroom in 2-floor Bushwick Apartment,3152934,Cheno,Brooklyn,Bushwick,40.68758,-73.91320999999999,Private room,50,1,2,2016-08-06,0.06,1,0
4650725,Lovely Room in a 2 BR in Greenpoint,24075308,Saskia,Brooklyn,Greenpoint,40.72518,-73.93844,Private room,85,14,3,2015-07-03,0.05,1,0
21843831,"Cosy space,  30 min to Manhattan 15 Barclay Center",94214493,Dadrine,Brooklyn,East Flatbush,40.65532,-73.91793,Private room,80,7,1,2019-04-18,0.36,9,364
11965862,SUNNY and SPACIOUS room in Brooklyn,63914230,Kay,Brooklyn,Williamsburg,40.7128,-73.9605,Private room,76,5,1,2016-07-12,0.03,1,0
2683387,Great Room In Mid Town New York NYC,11837926,Anthony,Manhattan,Midtown,40.76419,-73.98018,Private room,140,7,49,2019-06-13,0.82,3,296
16491507,Extra Cozy Room in Center of Williamsburg,4033160,Brian,Brooklyn,Williamsburg,40.71404,-73.95783,Private room,98,1,3,2017-01-01,0.1,1,0
4357134,Beautiful NY Gem,7809661,Mamie,Queens,Ditmars Steinway,40.77172,-73.91769000000001,Entire home/apt,200,1,0,,,1,0
24792114,Sunny apartment,3405917,Juliana,Queens,Sunnyside,40.74597,-73.91434,Private room,55,3,26,2019-06-17,1.82,1,1
8538077,Cozy bright apt with a touch of rustic charm -,44950182,Dawn,Brooklyn,Cobble Hill,40.68665,-73.99150999999999,Entire home/apt,250,2,23,2019-06-24,1.04,1,0
31148404,"Luxury Doorman Apartment - POOL, GYM, LOUNGE +++",34271675,Chris,Manhattan,Financial District,40.70763,-74.00671,Entire home/apt,110,15,2,2019-05-15,0.8,1,0
24373776,Spacious bedroom in Washington Heights,6024063,Bree,Manhattan,Washington Heights,40.84821,-73.94153,Private room,50,2,1,2019-07-06,1.0,1,25
14066397,"Sunny, Clean, 1BR in Washington Heights",33990883,Summer,Manhattan,Washington Heights,40.85182,-73.92941,Entire home/apt,115,5,13,2019-05-22,0.37,1,0
32719444,"2 entire floors,2 (Website hidden by Airbnb) to everything.",34313176,Eddie,Queens,Rego Park,40.71702,-73.86183,Entire home/apt,239,2,0,,,4,299
23942226,"Bushwick Room w Private Bath, 1 Block to Subway",37806504,Michelle,Brooklyn,Bushwick,40.70072,-73.91359,Private room,60,3,50,2019-05-18,3.33,1,85
7580481,Bright & Stylish Studio in the LES,10622338,Hester,Manhattan,Lower East Side,40.71767,-73.99004000000001,Entire home/apt,160,1,26,2016-12-31,0.54,1,0
22034977,South Bronx Hideaway,148100571,Jenny,Bronx,Soundview,40.82668,-73.8822,Entire home/apt,50,1,2,2017-12-09,0.1,2,0
3476431,Charming Fort Greene Studio,4374828,Michelle,Brooklyn,Clinton Hill,40.68407,-73.96715,Entire home/apt,110,3,39,2019-01-01,0.85,1,0
30403504,"Chic PENT HOUSE near LaGuardia airport, 30 to nyc.",95570854,Fatema,Queens,Ditmars Steinway,40.76711,-73.89367,Entire home/apt,250,7,0,,,2,365
12887457,HUGE AMAZING STUDIO/ FEEL LIKE HOME,1475015,Mike,Manhattan,Midtown,40.757540000000006,-73.96943,Entire home/apt,115,30,0,,,52,343
3304307,Lovely Shiny Private Room in NYC,12465884,Natasha,Manhattan,East Harlem,40.79269,-73.94218000000001,Private room,100,3,64,2019-06-01,1.05,1,219
18369887,Sunny & Spacious 1 Bedroom in Central Harlem!,2946771,Kara,Manhattan,East Harlem,40.8136,-73.93606,Entire home/apt,150,2,39,2019-05-27,1.48,1,0
4225745,Cute Studio in Trendy Neighborhood,21930475,Whitney,Brooklyn,Clinton Hill,40.68275,-73.96542,Entire home/apt,73,2,7,2018-08-13,0.13,1,0
15937310,Grace,38294216,Rachel,Queens,South Ozone Park,40.66675,-73.81071,Private room,75,10,7,2019-04-13,0.27,4,197
11639940,Peaceful + Sunny Greenpoint Room,2375701,Paul,Brooklyn,Greenpoint,40.7307,-73.95568,Private room,66,1,1,2016-03-12,0.02,1,0
36025215,Gorgeous sunny room in fabulous Brooklyn duplex,3103656,Laurel,Brooklyn,Bushwick,40.69184,-73.90924,Private room,99,3,0,,,2,150
27359696,ACintheroom!35minutes toWALL St. quiet&residential,47782497,Robianddebbie,Brooklyn,East New York,40.66983,-73.87745,Private room,65,7,16,2019-06-23,1.42,3,287
63360,Safe cute near subway& Manhattan NY NY retro style,307962,Dennis & Naoko,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,2019-06-24,4.5,1,226
32315112,TWO BEDROOM APARTMENT IN BEAUTIFUL BED-STUY,73066515,Nick,Brooklyn,Bedford-Stuyvesant,40.69493,-73.94483000000001,Entire home/apt,100,3,4,2019-06-30,1.04,3,6
2451647,"Bright, Modern Room in East Village!",64442,Reka,Manhattan,East Village,40.72598,-73.97778000000001,Private room,84,1,184,2019-07-01,2.86,2,59
11910848,Beautiful TriBeCa Apartment,63544192,Annie,Manhattan,Tribeca,40.71893,-74.00485,Private room,60,25,2,2018-07-31,0.05,1,0
2075600,Delicious & Airy Apt in Landmark Brownstone,5089,Subhana,Brooklyn,Bedford-Stuyvesant,40.68637,-73.9417,Entire home/apt,151,2,43,2019-07-01,0.65,1,220
394026,ArtistLoft-MccarenPark-Williamsburg,1651591,Todd,Brooklyn,Greenpoint,40.720490000000005,-73.95221,Private room,90,2,2,2018-10-08,0.02,2,89
21384410,Hip Brooklyn Duplex In Prospect Heights,32014256,Josh,Brooklyn,Crown Heights,40.67487,-73.95721,Entire home/apt,129,1,79,2019-06-23,3.88,1,144
27610995,PRIVATE BEDROOM in spacious apartment in the UWS!,17278356,Nico,Manhattan,Upper West Side,40.79099,-73.97293,Private room,230,3,14,2019-05-29,1.28,1,0
12420947,Williamsburg entire  apartment,3642404,Maya,Brooklyn,Williamsburg,40.70965,-73.95675,Entire home/apt,95,4,10,2019-06-23,0.37,1,0
35275242,Sunny room in prime location,24027781,Yasmeen,Queens,Long Island City,40.74774,-73.94757,Private room,80,2,0,,,2,4
21633621,Charming Harlem studio,1679545,Ishai,Manhattan,Harlem,40.81272,-73.9517,Entire home/apt,111,7,5,2018-12-30,0.28,1,8
20092176,Large suite with private bathroom (15 min to city),85330,Jean,Queens,Forest Hills,40.7118,-73.85285,Private room,50,3,30,2019-07-01,1.28,3,220
36310247,Spacious 1 Bedroom With Private Garden,25498509,Michael,Brooklyn,Clinton Hill,40.68183,-73.96464,Entire home/apt,100,1,0,,,1,6
13248583,Spacious & cozy room in trendy SoHa !,3097033,Aida,Manhattan,Harlem,40.80304,-73.95148,Private room,65,2,50,2019-06-24,1.39,2,15
639781,East Village 1 Bedroom Apartment,3194190,Jack,Manhattan,East Village,40.72389,-73.98934,Entire home/apt,200,6,1,2019-01-05,0.16,1,128
2135489,Charming Studio in Brooklyn,8624212,Leon,Brooklyn,Carroll Gardens,40.68362,-73.99714,Entire home/apt,170,2,131,2019-06-16,2.02,1,26
34859794,Beautiful Luxury Brownstone Apt in Brooklyn,36082598,Genevieve,Brooklyn,Bedford-Stuyvesant,40.68315,-73.95222,Entire home/apt,225,2,6,2019-06-30,3.83,2,273
20054293,Cozy spacious room in LIC with backyard and bath,63235915,Shen,Queens,Long Island City,40.76024,-73.94091,Private room,61,3,1,2017-08-01,0.04,1,0
27542342,2 beautiful & bright bedrooms in a renovated apt.,35660592,Luis,Queens,Elmhurst,40.7335,-73.87571,Private room,149,2,5,2019-06-10,0.46,6,340
18025228,"Huge room 25 min to manhattan. L,M,J,Z train.",101736132,Alex,Brooklyn,Bushwick,40.69045,-73.91507,Private room,40,2,12,2017-10-07,0.44,2,281
35933715,"Private, cozy room in Astoria!!!",270277478,Marina,Queens,Long Island City,40.7564,-73.92101,Private room,85,3,0,,,1,250
26080646,Entire West Village Apartment,196017028,Franklin,Manhattan,Greenwich Village,40.72848,-74.0012,Entire home/apt,200,4,18,2019-07-01,1.42,1,5
18768741,Furnished Studio in Midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74819,-73.976,Entire home/apt,150,30,3,2018-10-30,0.14,50,180
8953050,Beautiful private studio,46794554,Bhargav,Queens,Ditmars Steinway,40.77987,-73.90309,Entire home/apt,75,7,0,,,1,0
17762827,"Perfect, cozy room in Crown Heights, Brooklyn",1898704,Luca,Brooklyn,Crown Heights,40.67181,-73.95865,Private room,45,25,2,2017-08-20,0.08,1,0
7330488,Charming Classic UWS Bedroom & Balcony,18008678,Clayton,Manhattan,Upper West Side,40.80243,-73.9706,Private room,100,2,33,2018-04-20,0.68,2,0
8404499,Spacious and sunny 1BR w terrasse,6630320,Florie,Brooklyn,Williamsburg,40.711090000000006,-73.95918,Entire home/apt,200,2,7,2017-07-06,0.15,1,0
9876971,"❤️ of Wburg, 2.5 Rms, Sep Entrances",1869332,Elli,Brooklyn,Williamsburg,40.71947,-73.95676999999999,Entire home/apt,219,30,3,2017-05-21,0.09,3,36
10351593,Ed's Place,53274087,Edgar,Manhattan,Harlem,40.82284,-73.94199,Private room,90,1,151,2019-07-06,5.34,1,22
13632649,Charming Vinegar Hill 1-bedroom apt w/ backyard,50210611,Ali,Brooklyn,Vinegar Hill,40.7041,-73.98089,Entire home/apt,135,6,1,2016-07-24,0.03,1,0
4199411,Greenwich Village Living!,21787420,Mo,Manhattan,East Village,40.73062,-73.99122,Entire home/apt,350,2,0,,,1,0
26450798,Stunning 1BR in Midtown East by Sonder,12243051,Sonder,Manhattan,Murray Hill,40.74417,-73.97206,Entire home/apt,189,29,0,,,96,316
34151215,Bright and Artsy 2 Bedroom Apartment,257810280,Leslie,Brooklyn,Bedford-Stuyvesant,40.67935,-73.93715,Entire home/apt,100,1,5,2019-07-08,5.0,1,0
26295421,Cozy place II,197516314,Genny,Staten Island,Port Richmond,40.63408,-74.13224,Private room,55,1,40,2019-06-15,3.21,3,363
9241956,The New Downtown* 1 bdrm,23267314,Millie,Manhattan,Hell's Kitchen,40.754740000000005,-73.99835999999999,Entire home/apt,177,2,123,2019-06-28,2.81,2,261
4588678,Gorgeous bohemian  Apt. in a Brownstone,66286,Liat,Brooklyn,Bedford-Stuyvesant,40.68596,-73.94068,Entire home/apt,100,2,2,2017-08-08,0.05,2,0
30046737,The Rich Home:minutes to JFK & 30min to the City,225813251,Latasha,Queens,St. Albans,40.6968,-73.76592,Entire home/apt,135,1,69,2019-07-02,10.67,1,158
16506016,Harlem Monthly Rental True Two Bedroom 1 Bath,12145783,Enid,Manhattan,East Harlem,40.8006,-73.94115,Entire home/apt,99,30,3,2018-12-23,0.22,2,220
28985951,Spacious private bedroom and kitchen in Bedstuy,140671636,Brianna,Brooklyn,Bedford-Stuyvesant,40.68302,-73.94896999999999,Private room,50,2,5,2019-04-29,0.56,1,0
7091660,1BR in large apt on Lower East Side,37170055,Sara,Manhattan,Lower East Side,40.72348,-73.99095,Private room,250,1,0,,,1,1
22651464,12 east 86th Steet Upper East Side Building,165898555,Honey,Manhattan,Upper East Side,40.77719,-73.9529,Entire home/apt,200,30,0,,,7,364
25311740,Huge 2 bedroom in Astoria,19503783,Ves,Queens,Ditmars Steinway,40.77975,-73.92087,Entire home/apt,100,14,0,,,1,189
19873185,"Large room in a beautiful, easy-commute apartment",24383253,Arash,Brooklyn,Crown Heights,40.67139,-73.95676999999999,Private room,50,8,0,,,1,0
12760088,Modern Apartment. Central Park. B/C,52630170,Flora,Manhattan,Harlem,40.8033,-73.95770999999999,Private room,50,3,2,2016-05-23,0.05,1,0
30059491,Cozy Brooklyn Nook,46093850,Caroline,Brooklyn,Bedford-Stuyvesant,40.68137,-73.95714,Private room,100,1,2,2018-12-29,0.26,1,311
23000751,Little Neck Queens bedroom w/private bathwash/dry,170603631,Andre,Queens,Douglaston,40.74807,-73.73674,Private room,65,2,29,2019-03-14,1.68,1,240
31648320,"Times Square Suite with amazing views, high rise !",237283897,Mj,Manhattan,Theater District,40.75412,-73.98601,Entire home/apt,119,1,18,2019-06-21,3.18,1,302
17149950,Entire One bedroom Apartment in Midtown Manhattan,7616444,Ramin,Manhattan,Midtown,40.75029,-73.98402,Entire home/apt,350,5,4,2017-10-31,0.15,1,0
36170293,Convenient and Spacious Sugar Hill Apartment,272034378,Cristian,Manhattan,Harlem,40.82808,-73.94126,Private room,45,3,0,,,1,10
3249078,Brooklyn Heights 1.5BR and Cat Sit,1705205,Ebonie,Brooklyn,Brooklyn Heights,40.6906,-73.99339,Entire home/apt,115,5,0,,,1,0
22530764,House of Love,165448425,Shana,Brooklyn,East Flatbush,40.65129,-73.94058000000001,Private room,90,1,10,2019-06-24,0.72,1,365
1899076,"14 min to Union Square, Manhattan-Sunny Modern Rm",9820942,Erica And Jorel,Brooklyn,Bushwick,40.70505,-73.92281,Private room,59,1,238,2019-05-12,3.46,3,320
12601401,"Astoria living, like a true NY'er",5059784,Seth,Queens,Astoria,40.76465,-73.92625,Entire home/apt,125,1,10,2016-07-11,0.26,1,0
65834,Beautiful 1 Bedroom Apt Park Slope,321934,Jessica,Brooklyn,Park Slope,40.673190000000005,-73.97323,Entire home/apt,175,2,11,2013-05-02,0.11,1,246
14125183,Full bed in private Bushwick room,5914717,Kait,Brooklyn,Bushwick,40.69822,-73.92918,Private room,50,2,59,2018-04-22,1.67,1,0
29531069,greenpoint williamsburg  huge studio room   /,150316502,Francisca,Brooklyn,Greenpoint,40.72674,-73.95495,Private room,250,5,0,,,1,154
10058942,"Columbia Univer, female/couple only",12245536,Rong,Manhattan,Harlem,40.82083,-73.95795,Private room,39,2,3,2016-07-21,0.07,2,0
34568097,Iconic West 57 Street/Central park/Junior 1Bedroom,7679270,Ika,Manhattan,Hell's Kitchen,40.76739,-73.98504,Entire home/apt,150,2,2,2019-07-01,2.0,1,146
25719044,COZY Room for Female Guests,40119874,Stephany,Brooklyn,Prospect-Lefferts Gardens,40.66242,-73.94417,Private room,48,1,131,2019-05-31,9.97,2,0
31822089,Artist’s apartment in Harlem!,552627,Brandy,Manhattan,Harlem,40.82458,-73.93883000000001,Private room,39,2,0,,,2,315
582272,Privet Room in Greenpoint +Backyard *location,2712129,Raziel,Brooklyn,Greenpoint,40.72437,-73.94847,Private room,75,5,1,2018-11-13,0.13,1,0
14484998,Perfect for Students/Interns seeking summer rental,2261995,Sarah,Brooklyn,Bedford-Stuyvesant,40.6824,-73.94245,Private room,55,1,0,,,3,364
13545656,Perfect 1 Br Apt. to explore the city,6493333,Zahra,Manhattan,Harlem,40.8114,-73.94014,Entire home/apt,140,2,34,2018-09-16,0.93,1,0
30388617,"Gorgeous + Bright Midtown East 1BR, Doorman, Gym by Blueground",107434423,Blueground,Manhattan,Midtown,40.75861,-73.96359,Entire home/apt,241,30,0,,,232,149
29706358,Bright and Airy Greenwich Village Junior 1 Bedroom,259123,Caitlin,Manhattan,Greenwich Village,40.73492,-73.99604000000001,Entire home/apt,300,2,2,2018-12-15,0.26,1,11
12812544,High SkyView  W&D GYM Doorman 5180,16098958,Jeremy & Laura,Manhattan,Upper East Side,40.77725,-73.95137,Entire home/apt,190,30,3,2017-10-04,0.08,96,330
19837851,Bright 3-bedroom apartment in beautiful Brooklyn,140220933,Yolanda,Brooklyn,East Flatbush,40.65614,-73.91754,Entire home/apt,103,3,35,2019-04-21,1.52,1,291
30157585,Master bedroom,226574177,Robert,Manhattan,Harlem,40.82894,-73.94568000000001,Private room,46,1,1,2018-11-21,0.13,1,179
22247316,Brooklyn style Loft,43600815,Rafael,Brooklyn,Williamsburg,40.70481,-73.93766,Private room,50,4,0,,,2,0
1132201,Cozy North Park Slope Apartment,712590,Erin,Brooklyn,Prospect Heights,40.68034,-73.97321,Private room,130,2,8,2018-06-24,0.11,1,0
6747958,1 cozy & centrally located bedroom,20904647,Christina,Brooklyn,Fort Greene,40.68662,-73.97601999999999,Private room,90,4,32,2019-07-03,0.67,1,295
3403034,Modern Manhattan Living Suite 2A,17161465,Judette,Manhattan,Harlem,40.82967,-73.94428,Entire home/apt,95,30,36,2019-04-30,0.61,1,245
27256404,Beautiful Bushwick 3br on the subway,14487073,Jeremy,Brooklyn,Bushwick,40.70382,-73.91456,Entire home/apt,250,2,25,2019-07-01,2.37,2,260
31534487,New York Big Room,21250331,Clara,Queens,Bayside,40.754090000000005,-73.76935,Private room,47,1,19,2019-06-20,3.63,3,350
12212943,Upper East Side Brand New Apt,65690091,Mohine,Manhattan,Upper East Side,40.78173,-73.94621,Private room,185,1,0,,,1,0
22088276,Spacious and peaceful apartment in Nolita / SoHo,31880119,Zach,Manhattan,Nolita,40.72382,-73.99540999999999,Entire home/apt,175,2,9,2018-08-26,0.47,1,0
15050192,Private w/Backyard in Heart of Brooklyn,95117581,Michael,Brooklyn,Bedford-Stuyvesant,40.68201,-73.95553000000001,Entire home/apt,150,30,6,2016-12-31,0.18,1,0
32178172,2BED 2 BATH/COLUMBUS CIRCLE/ BALCONY,131647128,Emily,Manhattan,Upper West Side,40.77054,-73.98344,Entire home/apt,290,30,2,2019-03-21,0.52,25,313
32544596,Brooklyn Awesomely Huge Apartment - 2,9864136,Anthony,Brooklyn,Bushwick,40.68491,-73.91324,Entire home/apt,85,30,1,2019-03-10,0.25,26,312
29946074,Cuarto en Queens,89902143,Jose,Queens,Jackson Heights,40.75457,-73.86162,Private room,100,7,0,,,2,179
35028223,Cozy Central Park Studio!: 2Min to Train,263641050,Daniel,Manhattan,East Harlem,40.7988,-73.94339000000001,Entire home/apt,200,4,5,2019-06-30,3.95,1,303
10191601,Spacious Astoria Home with Garden,26111326,Larry & Deb,Queens,Astoria,40.76951,-73.93077,Entire home/apt,125,2,26,2017-10-14,0.64,1,0
35420482,"Chic, modern Studio with balcony access",17349726,Gillian,Brooklyn,Bushwick,40.69424,-73.92652,Entire home/apt,89,1,8,2019-07-03,7.5,1,88
15452878,Discounted! Comfy and quiet room in SoHo.,1475812,Ignani,Manhattan,Nolita,40.72104,-73.99498,Private room,130,2,123,2019-06-07,3.79,3,59
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,2019-06-19,0.94,1,37
9393610,Big room in Williamsburg Penthouse,48723117,Gaute,Brooklyn,Williamsburg,40.7116,-73.9521,Private room,79,4,0,,,1,0
16010302,"Chic Chelsea charming apartment, GREAT DECOR",18939173,Pablo,Manhattan,Chelsea,40.75133,-73.99965,Entire home/apt,228,4,16,2019-07-06,0.51,1,103
20836753,Apartment-Styled space in Queens. 10Min from JFK.,148737806,Daré,Queens,Rosedale,40.66183,-73.72943000000001,Private room,58,1,65,2019-06-30,2.92,2,84
14835632,"Bright, conveniently located room in Bushwick",29480857,Elena,Brooklyn,Bushwick,40.703520000000005,-73.92971,Private room,48,2,11,2017-12-30,0.32,1,0
28071460,Beautiful apartment in Greenpoint,9609022,Emilie,Brooklyn,Greenpoint,40.72113,-73.95279000000001,Entire home/apt,98,8,1,2018-08-29,0.1,1,0
6866960,Elegant 3 BR in Victorian Home by Brooklyn College,35983559,Laura,Brooklyn,East Flatbush,40.63868,-73.95049,Entire home/apt,150,4,93,2019-07-03,1.93,3,320
9685865,Pvt Room W/Pvt Bathroom; NO KITCHEN!,50031308,Raj,Brooklyn,Midwood,40.63009,-73.96670999999999,Private room,55,4,47,2019-07-03,1.09,1,304
15396328,Private Room in Heart of East Village!,14295824,Josephine,Manhattan,East Village,40.72718,-73.98238,Private room,80,4,7,2019-01-03,0.33,1,0
2690370,Spectacular Views of Mid-Town,480923,Diane,Queens,Long Island City,40.74606,-73.95765,Entire home/apt,130,30,1,2014-08-04,0.02,1,0
539160,Manhattan *SuperHost* Luxury 2 Bdrm Apt Sleeps 6+,512878,Michelle,Manhattan,Washington Heights,40.83064,-73.94076,Entire home/apt,170,1,47,2019-04-28,0.58,2,17
10038823,"Apartment for 5, Midtown Manhattan",48681257,Celia,Manhattan,Midtown,40.75828,-73.96285999999999,Entire home/apt,220,1,116,2019-06-23,2.89,1,264
6614604,"Nice, cozy double size bedroom",6492234,Martin,Manhattan,Washington Heights,40.83721,-73.93894,Private room,50,4,0,,,1,0
29799420,Private and cozy room in East Williamsburg.,53103368,Caroline,Brooklyn,Williamsburg,40.70701,-73.94445999999999,Private room,65,2,0,,,1,6
23952724,Best Place to stay,121379512,Maria,Bronx,Longwood,40.82434,-73.88705,Private room,44,20,0,,,2,0
24728012,Beautiful Apartment,77534743,Fabiola,Brooklyn,Bedford-Stuyvesant,40.68622,-73.9395,Private room,42,2,4,2018-06-19,0.28,1,0
24968131,Private Room in peaceful town,7989399,Esin,Queens,Sunnyside,40.73891,-73.92642,Private room,50,3,3,2018-10-10,0.29,2,112
6005231,The Hub for Two,31175000,Kathryn,Brooklyn,Bedford-Stuyvesant,40.68459,-73.93985,Entire home/apt,105,2,127,2019-06-27,3.88,3,113
32587918,One Bedroom Apartment in Central of Midtown.,211549023,Studioplus,Manhattan,Midtown,40.74766,-73.9868,Entire home/apt,260,2,2,2019-05-29,1.13,13,259
26518547,U2 comfortable double bed sleeps 2 guests,295128,Carol Gloria,Bronx,Clason Point,40.81225,-73.85502,Private room,80,1,4,2019-07-01,1.48,7,365
